text,label
Asthma attack with tight thoracic since 11 days ago,Pulmonology
Autoimmune disease symptoms,Rheumatology
moderate Vaccination and preventive care,General Physician
Wrist pain with paresthesia in fingers ongoing for 9 days since 8 days ago,Orthopedics
Having symptoms of Chronic bronchitis with mucus production,Pulmonology
Blood in stool and tummy cramps in the morning constantly,Gastroenterology
slight Itchy skin skin condition with redness lasting 1 days,Dermatology
Frequent urination with burning occasionally,Urology
Routine checkup needed constantly,General Physician
Double vision and headache frequently in the morning,Ophthalmology
Knee soreness after physical activity periodically ongoing for 6 days,Orthopedics
Obsessive thoughts and compulsive behavior for 1 days,Psychiatry
Gout with severe toe mild pain,Rheumatology
severe Mood swings and irritability,Psychiatry
Double vision and headsevere ache,Ophthalmology
moderate Heartburn after eating fatty foods,Gastroenterology
Vomiting blood or coffee ground material,Gastroenterology
Pressure in chest like an elephant sitting on it,Cardiology
Wrist pain with numbness in fingers,Orthopedics
Shoulder ache limiting movement in the evening,Orthopedics
critical menstrual cramps lasting 13 days since 1 days ago,Gynecology
trouble seeing at night intermittently since 8 days ago,Ophthalmology
dull Fungal infection with itching between toes,Dermatology
problem respiration and wheezing occasionally,Pulmonology
sharp Hair loss and scalp irritation since 11 days ago,Dermatology
moderate Double eyesight and floaters lasting 3 days,Ophthalmology
throbbing Post traumatic stress with flashbacks,Psychiatry
Erectile dysfunction ongoing for 3 days,Urology
Fever with body aches for 6 weeks,General Physician
Presenting with Blood in stool and stomach cramps,Gastroenterology
Having symptoms of Sore throat with difficulty swallowing,ENT
sharp Floaters and flashes of light,Ophthalmology
dull Chest congestion and breathing difficulty,Pulmonology
Dealing with Seizures and loss of consciousness,Neurology
Suffering from Arthritis with morning stiffness,Orthopedics
Red itchy eyes with discharge,Ophthalmology
intense Loss of smell and taste for 6 weeks,ENT
Psoriasis with scaly patches,Dermatology
intense Annual checkup needed,General Physician
slight Burning sensation in upper abdomen at night,Gastroenterology
I'm experiencing Blood in stool and stomach cramps,Gastroenterology
Muscle weakness and fatigue,Rheumatology
Vaccination and preventive care ongoing for 11 days,General Physician
slight Menopausal hot flashes since 14 days ago,Gynecology
moderate Moles changing in size or color,Dermatology
Back agony radiating down leg periodically,Orthopedics
Having symptoms of Muscle weakness and weakness in the morning,Rheumatology
dull Memory loss and confusion,Neurology
throbbing Dry eyes with burning sensation,Ophthalmology
moderate Fracture with acute bone hurt intermittently,Orthopedics
Rapid breathing with unease at night,Pulmonology
unbearable Cold and flu symptoms,General Physician
Presenting with Double vision and headache,Ophthalmology
Mood swings and irritability constantly frequently,Psychiatry
Swollen joints with redness,Rheumatology
Suffering from Severe eczema with dry cracked skin,Dermatology
Joint pain with edema in multiple joints for 2 days for the past 6 days,Rheumatology
Painful joint bloating in hands during the day,Orthopedics
Ankle sprain with bruising,Orthopedics
Health concern not specific to any organ lasting 13 days,General Physician
Swollen tonsils with white patches lasting 2 days for 12 days,ENT
Irregular pulse with tiredness for 4 days in the evening,Cardiology
Currently having Sharp chest pain when breathing deeply,Cardiology
Itchy skin dermatitis with redness intermittently since 2 days ago,Dermatology
mild Bloating with gas and constipation for 10 weeks,Gastroenterology
Yellow eyes and dark urine,Gastroenterology
Pregnancy symptoms and morning sickness during the day,Gynecology
Painful intercourse for the past 10 days occasionally,Gynecology
I'm experiencing Heartburn after eating fatty foods,Gastroenterology
Persistent cranial pain with nausea and vomiting for the past 5 days,Neurology
Suicidal thoughts and hopelessness lasting 14 days,Psychiatry
Difficulty breathing and wheezing,Pulmonology
elevated temperature with general malaise for 7 days,General Physician
dull Pressure in thoracic like an elephant sitting on it,Cardiology
Tremors in hands and problem walking,Neurology
Ankle sprain with inflammation for 4 days,Orthopedics
Suffering from Acne breakouts on face and back,Dermatology
I'm experiencing Knee pain with swelling after injury periodically,Orthopedics
Fungal infection with itching between toes occasionally in the evening,Dermatology
continuous sinus infection and nasal congestion,ENT
throbbing Kidney stone agony in side,Urology
Mole changes in size and color intermittently occasionally,Dermatology
Fungal infection with itching between toes since 5 days ago since 10 days ago,Dermatology
Blurred vision and eye throbbing pain,Ophthalmology
extreme Wheezing and problem exhaling,Pulmonology
Burning sensation in upper abdomen for 7 days,Gastroenterology
Chest congestion and breathing problem ongoing for 9 days,Pulmonology
Ear ache with hearing loss occasionally,ENT
Shortness of breath on exertion,Pulmonology
slight Double vision and cephalgia for the past 10 days,Ophthalmology
Presenting with moderate Fluttering sensation in chest with lightheadedness,Cardiology
Sudden vision loss,Ophthalmology
Chest pain with shortness of breath and sweating occasionally constantly,Cardiology
Menopausal hot flashes in the morning since 10 days ago,Gynecology
Routine checkup needed,General Physician
Pelvic tenderness and heavy bleeding,Gynecology
serious abdominal hurt with vomiting,Gastroenterology
moderate unease attacks with panic,Psychiatry
dull Currently having Depression and loss of interest,Psychiatry
severe weakness and general weakness,General Physician
Suffering from Severe headache with vision changes,Neurology
Rapid heartbeat and chest tightness,Cardiology
Blood in stool and stomach cramps,Gastroenterology
Asthma attack with tight chest in the morning,Pulmonology
Suffering from Ringing in ears and vertigo since 12 days ago,ENT
Obsessive thoughts and compulsive behavior for 5 days,Psychiatry
Ear slight pain with hearing loss,ENT
Irregular pulse with weakness in the morning,Cardiology
Racing heart with anxiety and thoracic slight pain,Cardiology
Common cold symptoms for 5 weeks,General Physician
Racing heart with anxiety and chest throbbing ache,Cardiology
Swollen tonsils with white patches during the day,ENT
Pregnancy symptoms and morning sickness since 5 days ago,Gynecology
moderate Frequent urination with burning,Urology
sharp Dry eyes with burning sensation,Ophthalmology
Itchy skin rash with redness for 2 days in the morning,Dermatology
Joint pain with puffiness in multiple joints lasting 5 days,Rheumatology
Currently having Sharp ache in lower right abdomen,Gastroenterology
sharp Chest agony with shortness of breath and sweating,Cardiology
Psoriasis with scaly patches frequently,Dermatology
unbearable Eating disorder with body image issues,Psychiatry
Currently having Migraine with nausea and light sensitivity,Neurology
upset stomach and loss of appetite since 8 days ago constantly,Gastroenterology
Presenting with Itchy skin skin condition with redness during the day,Dermatology
Mole changes in size and color for the past 6 days for the past 12 days,Dermatology
sharp Bloating with gas and constipation for 3 weeks,Gastroenterology
Acid reflux and difficulty swallowing,Gastroenterology
Knee pain after physical activity,Orthopedics
Testicular pain or swelling lasting 9 days,Urology
Having symptoms of Vomiting blood or coffee ground material,Gastroenterology
Moles changing in size or color for 2 weeks ongoing for 1 days,Dermatology
intense Blood in urine and flank tenderness,Urology
struggle seeing at night constantly at night,Ophthalmology
Sudden severe headextreme ache like thunderclap for 11 days,Neurology
Incontinence and urinary leakage for the past 8 days,Urology
Severe abdominal pain with vomiting frequently,Gastroenterology
Difficulty urinating with burning,Urology
throbbing struggle urinating with burning,Urology
throbbing Crushing chest tenderness radiating to left arm,Cardiology
slight Shortness of breath on exertion,Pulmonology
Testicular ache or puffiness,Urology
Racing heart with anxiety and chest pain,Cardiology
Suicidal thoughts and hopelessness at night,Psychiatry
intense Blurred vision and eye hurt,Ophthalmology
Dealing with Difficulty urinating with burning,Urology
Rapid breathing with anxiety lasting 6 days occasionally,Pulmonology
Chronic stomach pain and indigestion,Gastroenterology
prolonged bronchitis with mucus production for 5 days lasting 6 days,Pulmonology
Ankle sprain with bruising since 11 days ago,Orthopedics
tiredness and general weakness ongoing for 9 days,General Physician
Presenting with Presenting with Hip pain when walking,Orthopedics
Coughing up phlegm every morning periodically,Pulmonology
Kidney stones with severe pain,Urology
throbbing Loss of smell and taste,ENT
Mood swings and irritability occasionally since 3 days ago,Psychiatry
Persistent coughing with febrile,Pulmonology
Mole changes in size and color,Dermatology
severe Menopausal hot flashes,Gynecology
Having symptoms of Arthritis with morning stiffness constantly,Orthopedics
severe Frequent urination at night,Urology
Wrist pain with paresthesia in fingers for 9 days during the day,Orthopedics
Crushing chest pain radiating to left arm,Cardiology
severe mild Slurred speech and facial drooping,Neurology
Depression with loss of interest for 1 weeks intermittently,Psychiatry
trouble urinating with burning intermittently,Urology
swift loss of eyesight in one eye occasionally periodically,Ophthalmology
severe Fungal infection with itching between toes,Dermatology
Multiple vague symptoms occasionally,General Physician
Hallucinations and delusions,Psychiatry
Loss of smell and taste,ENT
Post traumatic stress with flashbacks,Psychiatry
moderate extreme Insomnia and difficulty sleeping,Psychiatry
Hallucinations and delusions ongoing for 8 days,Psychiatry
Back ache radiating down leg,Orthopedics
Knee soreness with inflammation after injury intermittently,Orthopedics
Presenting with intense Post traumatic stress with flashbacks,Psychiatry
Chronic tiredness and muscle aches,Rheumatology
Hip ache when walking,Orthopedics
sharp Frequent urination with burning,Urology
Coughing up phlegm every morning lasting 2 days,Pulmonology
Skin rash with itching,Dermatology
Fibromyalgia with widespread pain periodically,Rheumatology
Night sweats with persistent cough,Pulmonology
severe Irregular pulse with weakness,Cardiology
Weakness on one side of body in the evening,Neurology
Yellow eyes and dark urine since 11 days ago,Gastroenterology
Multiple vague symptoms for the past 1 days occasionally,General Physician
Pelvic pain and discomfort in the morning,Gynecology
Floaters and flashes of light for 1 weeks,Ophthalmology
Hoarse voice for more than two weeks for 5 weeks,ENT
tenderness in chest spreading to jaw and shoulder for the past 12 days,Cardiology
Knee ache with edema after injury,Orthopedics
Currently having lightheadedness and balance problems,Neurology
slight Insomnia and sleep disturbances periodically,Psychiatry
severe Heartburn after eating fatty foods,Gastroenterology
extreme Having symptoms of Vaginal discharge with odor,Gynecology
Post traumatic stress with flashbacks in the morning for the past 10 days,Psychiatry
General wellness advice needed for the past 8 days,General Physician
Chest pain with shortness of breath and sweating,Cardiology
continuous stomach pain and indigestion frequently,Gastroenterology
I'm experiencing Skin skin eruption with itching,Dermatology
moderate nervousness and panic attacks,Psychiatry
unease attacks with panic for 2 weeks,Psychiatry
severe extreme Eye injury with foreign object,Ophthalmology
unbearable Depression and loss of interest ongoing for 7 days,Psychiatry
Currently having Persistent skin infection not healing in the evening,Dermatology
sharp Persistent tussis with fever,Pulmonology
long-term migraine with aura at night,Neurology
Fungal infection with itching between toes,Dermatology
sharp slight Knee hurt after physical activity,Orthopedics
Hallucinations and delusions for 14 weeks,Psychiatry
Pelvic hurt and heavy bleeding,Gynecology
sharp headache with vision changes during the day,Neurology
Insomnia and difficulty sleeping intermittently,Psychiatry
I'm experiencing struggle breathing and wheezing for 14 weeks,Pulmonology
Hoarse voice for more than two weeks,ENT
extreme Burning sensation in upper abdomen,Gastroenterology
Irregular menstrual periods,Gynecology
Angina moderate soreness with arm loss of sensation,Cardiology
sharp upset stomach and loss of appetite,Gastroenterology
unsteadiness and balance problems,Neurology
Yellow eyes and dark urine for 5 weeks frequently,Gastroenterology
Knee tenderness after physical activity,Orthopedics
Currently having Ear pain with hearing loss,ENT
Tremors in hands and struggle walking in the morning,Neurology
Eye injury with foreign object for 1 days,Ophthalmology
Insomnia and problem sleeping ongoing for 10 days,Psychiatry
Pregnancy symptoms and morning sickness frequently in the evening,Gynecology
severe throbbing Dizziness and balance problems,Neurology
Painful joint swelling in hands,Orthopedics
Persistent cranial pain with sick feeling and vomiting,Neurology
Sharp chest slight pain when breathing deeply,Cardiology
Vaccination and preventive care frequently,General Physician
Shortness of breath on exertion ongoing for 3 days,Pulmonology
sharp Fibromyalgia with widespread hurt,Rheumatology
Pregnancy symptoms and morning sickness,Gynecology
Ringing in ears and vertigo since 6 days ago,ENT
I'm experiencing Electric shock sensations in body periodically,Neurology
intense Autoimmune disease symptoms periodically,Rheumatology
Tremors in hands and difficulty walking,Neurology
Persistent hack with fever,Pulmonology
thoracic throbbing discomfort with shortness of breath and sweating since 11 days ago,Cardiology
intense Common cold symptoms for the past 4 days,General Physician
unbearable Autoimmune disease symptoms during the day,Rheumatology
hard time urinating with burning for 5 weeks for 6 days,Urology
Angina pain with arm tingling,Cardiology
severe Erectile dysfunction,Urology
Back soreness radiating down leg,Orthopedics
Rapid breathing with anxiety,Pulmonology
Tremors in hands and trouble walking for 10 weeks during the day,Neurology
sharp General wellness advice needed periodically,General Physician
moderate Chest congestion and breathing difficulty,Pulmonology
Wheezing and difficulty exhaling for 5 days,Pulmonology
Blurred vision and eye unbearable pain,Ophthalmology
throbbing Frequent urination at night,Urology
mild vertigo and balance problems,Neurology
I'm experiencing Annual checkup needed,General Physician
Fibromyalgia with widespread tenderness in the morning,Rheumatology
moderate Blood in urine,Urology
Chronic cough with blood in sputum,Pulmonology
I'm experiencing Pain in chest spreading to jaw and shoulder,Cardiology
Pelvic hurt and discomfort for 11 weeks,Gynecology
Presenting with paresthesia and tingling in extremities for 13 days,Neurology
Painful intercourse during the day,Gynecology
Dealing with Chest discomfort with cold sweats,Cardiology
Psoriasis with scaly patches for 11 weeks,Dermatology
lethargy and weakness at night,General Physician
moderate Suicidal thoughts and hopelessness,Psychiatry
Hair loss and scalp irritation for the past 3 days during the day,Dermatology
High blood pressure and lightheadedness at night,Cardiology
mild Ringing in ears and vertigo constantly,ENT
exhaustion and weakness ongoing for 6 days,General Physician
Eye injury with foreign object occasionally in the morning,Ophthalmology
mild Heavy bleeding during periods for 11 weeks,Gynecology
Joint dull pain with puffiness in multiple joints,Rheumatology
Anxiety and panic attacks,Psychiatry
Sore throat with difficulty swallowing,ENT
Currently having Fluttering sensation in chest with lightheadedness,Cardiology
Acne breakouts on face and back,Dermatology
Currently having Double vision and headache,Ophthalmology
Menopausal hot flashes at night,Gynecology
Painful intercourse,Gynecology
intense Blood in stool and stomach cramps ongoing for 8 days,Gastroenterology
Knee severe pain with inflammation after injury,Orthopedics
Chronic weakness and muscle aches since 2 days ago during the day,Rheumatology
Pregnancy symptoms and morning sickness,Gynecology
Having symptoms of Back pain radiating down leg at night,Orthopedics
Hair loss and scalp irritation since 5 days ago constantly,Dermatology
Dry eyes with burning sensation ongoing for 3 days,Ophthalmology
Dealing with Hip pain when walking,Orthopedics
Heart palpitations and irregular heartbeat frequently,Cardiology
moderate Rheumatoid arthritis with joint deformity,Rheumatology
abrupt loss of vision in one eye since 4 days ago for the past 12 days,Ophthalmology
Double visual and floaters in the evening,Ophthalmology
Ankle sprain with swelling,Orthopedics
Hoarse voice for more than two weeks at night periodically,ENT
Racing heart with worry and thoracic hurt periodically,Cardiology
Pressure in thoracic like an elephant sitting on it,Cardiology
Annual checkup needed for 10 days,General Physician
Acid reflux and struggle swallowing,Gastroenterology
Nausea and loss of appetite,Gastroenterology
I'm experiencing Loss of smell and taste,ENT
moderate Nosebleeds and facial pressure,ENT
Red itchy eyes with discharge during the day lasting 11 days,Ophthalmology
Burning sensation in upper abdomen occasionally,Gastroenterology
Crushing chest mild pain radiating to left arm,Cardiology
severe Difficulty inhaling and wheezing,Pulmonology
slight Hoarse voice for more than two weeks,ENT
mild extreme Red itchy eyes with discharge,Ophthalmology
unbearable Heavy bleeding during periods,Gynecology
Wheezing and struggle exhaling lasting 8 days periodically,Pulmonology
Obsessive thoughts and compulsive behavior since 10 days ago,Psychiatry
Kidney stones with severe pain for 10 days,Urology
Painful bladder with urgency since 10 days ago,Urology
persistent exhaustion and muscle aches,Rheumatology
Ankle sprain with puffiness in the evening,Orthopedics
Eating disorder with body image issues,Psychiatry
Pelvic agony and throbbing discomfort,Gynecology
unbearable Persistent cough with fever,Pulmonology
Kidney stone dull discomfort in side constantly,Urology
Frequent urination with burning for 8 days,Urology
dull Eating disorder with body image issues for the past 11 days,Psychiatry
Dealing with Shoulder pain with limited movement since 2 days ago,Orthopedics
Difficulty seeing at night,Ophthalmology
severe Hair loss and scalp irritation,Dermatology
Presenting with Persistent headache with nausea and vomiting,Neurology
critical abdominal pain with vomiting for the past 4 days,Gastroenterology
Muscle weakness and weariness ongoing for 13 days,Rheumatology
Erectile dysfunction during the day,Urology
Incontinence and urinary leakage,Urology
Currently having Swollen tonsils with white patches,ENT
sharp eczema with dry cracked skin,Dermatology
Irregular pulse with fatigue,Cardiology
Seizures and loss of consciousness at night,Neurology
Hallucinations and delusions at night,Psychiatry
Joint soreness and stiffness in morning,Rheumatology
Hair loss and scalp irritation at night,Dermatology
loss of sensation and tingling in extremities in the morning,Neurology
dull Seizures and loss of consciousness,Neurology
mild Hives and allergic skin reaction,Dermatology
Mood swings and irritability for the past 3 days,Psychiatry
Currently having Shoulder pain with limited movement in the evening,Orthopedics
Severe eczema with dry cracked skin,Dermatology
Severe headsevere ache with eyesight changes during the day,Neurology
Suicidal thoughts and hopelessness ongoing for 6 days for the past 1 days,Psychiatry
critical headslight ache with vision changes frequently,Neurology
severe persistent sinus infection and nasal congestion at night,ENT
Annual checkup needed ongoing for 12 days,General Physician
Depression and loss of interest,Psychiatry
Blurred visual and eye pain during the day,Ophthalmology
Mole changes in size and color ongoing for 5 days,Dermatology
Suffering from Vaginal discharge with odor,Gynecology
Irregular menstrual periods at night ongoing for 3 days,Gynecology
Pelvic hurt and discomfort constantly,Gynecology
Crushing chest extreme pain radiating to left arm,Cardiology
Persistent skin infection not healing,Dermatology
Anxiety attacks with panic,Psychiatry
discomfort in chest spreading to jaw and shoulder since 2 days ago,Cardiology
Electric shock sensations in body,Neurology
Hives and allergic skin reaction,Dermatology
Fever with body slight aches,General Physician
extreme Fungal infection with itching between toes,Dermatology
Erectile dysfunction,Urology
throbbing Red itchy eyes with discharge,Ophthalmology
Presenting with Erectile dysfunction ongoing for 3 days,Urology
Health concern not specific to any organ,General Physician
continuous diarrhea and weight loss,Gastroenterology
continuous sinus infection and nasal congestion during the day for the past 13 days,ENT
severe Heart palpitations and irregular heartbeat,Cardiology
moderate Breast lump or tenderness,Gynecology
Ear pain with hearing loss,ENT
Acne and facial breakouts,Dermatology
Wheezing and difficulty exhaling for 8 days intermittently,Pulmonology
Difficulty inhaling and wheezing,Pulmonology
I'm experiencing Common cold symptoms,General Physician
Floaters and flashes of light,Ophthalmology
unbearable Suffering from High blood pressure and dizziness,Cardiology
Nosebleeds and facial pressure for the past 6 days,ENT
severe Blurred vision and eye soreness,Ophthalmology
Hair loss and scalp irritation lasting 12 days,Dermatology
moderate Sore throat with hard time swallowing,ENT
severe Psoriasis with scaly patches,Dermatology
Insomnia and sleep disturbances in the morning,Psychiatry
Having symptoms of Shoulder pain limiting movement,Orthopedics
moderate Presenting with Asthma attack with tight chest,Pulmonology
Breast lump or intense soreness,Gynecology
Severe headache with vision changes intermittently,Neurology
I'm experiencing Mood swings and irritability during the day,Psychiatry
Angina soreness with arm paresthesia intermittently,Cardiology
Shoulder pain limiting movement frequently,Orthopedics
moderate Bloating with gas and constipation,Gastroenterology
I'm experiencing Joint pain and stiffness in morning,Rheumatology
Having symptoms of Psoriasis with scaly patches,Dermatology
Slurred speech and facial drooping,Neurology
intense Irregular pulse with fatigue,Cardiology
Fibromyalgia with widespread soreness,Rheumatology
Back discomfort radiating down leg,Orthopedics
slight throbbing Chronic hack with blood in sputum,Pulmonology
severe Acid reflux and struggle swallowing,Gastroenterology
Chest congestion and inhaling struggle,Pulmonology
Wrist discomfort with tingling in fingers constantly in the morning,Orthopedics
Depression with loss of interest frequently,Psychiatry
Sudden intense headunbearable ache like thunderclap frequently,Neurology
Mood swings and irritability,Psychiatry
Currently having Sudden loss of vision in one eye,Ophthalmology
Mood swings and irritability,Psychiatry
Irregular menstrual periods since 8 days ago,Gynecology
Currently having prolonged migraine with aura,Neurology
Sudden severe headsevere ache like thunderclap,Neurology
Neck stiffness and agony,Orthopedics
Joint pain with swelling in multiple joints,Rheumatology
breast discomfort with cold sweats frequently,Cardiology
Incontinence and urinary leakage periodically,Urology
Pregnancy symptoms and morning sickness since 9 days ago,Gynecology
Swollen tonsils with white patches,ENT
Acid reflux and struggle swallowing in the evening for 11 weeks,Gastroenterology
soreness in thoracic spreading to jaw and shoulder for the past 3 days,Cardiology
throbbing Ringing in ears and vertigo in the evening,ENT
throbbing Shortness of breath on exertion intermittently,Pulmonology
Numbness and tingling in extremities,Neurology
Anxiety and panic attacks during the day,Psychiatry
Testicular moderate pain or swelling,Urology
throbbing Autoimmune disease symptoms,Rheumatology
Blood in stool and abdominal cramps in the morning,Gastroenterology
Back throbbing discomfort radiating down leg,Orthopedics
Painful bladder with urgency,Urology
